Concept	Weighting
LENC_1289	92
LENC_1290	92
LENC_1291	92
LENC_1292	91
LENC_1293	91
LENC_1294	91
LENC_1295	91
LENC_1296	91
LENC_1297	91
LENC_1298	91
LENC_1299	91
LENC_1300	90
LENC_1301	90
LENC_1302	90
LENC_1303	90
LENC_1304	89
LENC_1305	89
LENC_1306	89
LENC_1307	89
LENC_1308	88
LENC_1309	88
LENC_1310	88
LENC_1311	88
LENC_1312	88
LENC_1313	87
LENC_1314	87
LENC_1315	87
LENC_1316	87
LENC_1317	87
LENC_1318	87
LENC_1319	87
LENC_1320	87
LENC_1321	87
LENC_1322	86
LENC_1323	86
LENC_1324	86
LENC_1325	86
LENC_1326	86
LENC_1327	85
LENC_1328	85
LENC_1329	85
LENC_1330	85
LENC_1331	85
LENC_1332	85
LENC_1333	85
LENC_1334	85
LENC_1335	85
LENC_1336	84
LENC_1337	84
LENC_1338	84
LENC_1339	84
LENC_1340	84
LENC_1341	84
LENC_1342	84
LENC_1343	84
LENC_1344	84
LENC_1345	83
LENC_1346	83
LENC_1347	83
LENC_1348	83
LENC_1349	83
LENC_1350	83
LENC_1351	82
LENC_1352	82
LENC_1353	82
LENC_1354	82
LENC_1355	82
LENC_1356	82
LENC_1357	82
LENC_1358	82
LENC_1359	82
LENC_1360	82
LENC_1361	82
LENC_1362	82
LENC_1363	82
LENC_1364	81
LENC_1365	81
LENC_1366	81
LENC_1367	81
LENC_1368	81
LENC_1369	81
LENC_1370	80
LENC_1371	80
LENC_1372	80
LENC_1373	80
LENC_1374	80
LENC_1375	80
LENC_1376	80
LENC_1377	80
LENC_1378	79
LENC_1379	79
LENC_1380	79
LENC_1381	79
LENC_1382	79
LENC_1383	78
LENC_1384	78
LENC_1385	78
LENC_1386	78
LENC_1387	77
LENC_1388	77
LENC_1389	77
LENC_1390	77
LENC_1391	77
LENC_1392	77
LENC_1393	77
LENC_1394	76
LENC_1395	76
LENC_1396	76
LENC_1397	76
LENC_1398	76
LENC_1399	76
LENC_1400	76
LENC_1401	76
LENC_1402	75
LENC_1403	75
LENC_1404	75
LENC_1405	75
LENC_1406	75
LENC_1407	75
LENC_1408	75
LENC_1409	75
LENC_1410	75
LENC_1411	75
LENC_1412	75
LENC_1413	74
LENC_1414	74
LENC_1415	74
LENC_1416	74
LENC_1417	74
LENC_1418	74
LENC_1419	74
LENC_1420	74
LENC_1421	74
LENC_1422	74
LENC_1423	74
LENC_1424	73
LENC_1425	73
LENC_1426	73
LENC_1427	73
LENC_1428	73
LENC_1429	73
LENC_1430	73
LENC_1431	73
LENC_1432	73
LENC_1433	72
LENC_1434	72
LENC_1435	72
LENC_1436	72
LENC_1437	72
LENC_1438	72
LENC_1439	72
LENC_1440	72
LENC_1441	71
LENC_1442	71
LENC_1443	71
LENC_1444	71
LENC_1445	71
LENC_1446	71
LENC_1447	71
LENC_1448	71
LENC_1449	71
LENC_1450	71
LENC_1451	71
LENC_1452	71
LENC_1453	71
LENC_1454	70
LENC_1455	70
LENC_1456	70
LENC_1457	70
LENC_1458	70
LENC_1459	70
LENC_1460	70
LENC_1461	70
LENC_1462	70
LENC_1463	70
LENC_1464	70
LENC_1465	70
LENC_1466	69
LENC_1467	69
LENC_1468	69
LENC_1469	69
LENC_1470	69
LENC_1471	69
LENC_1472	69
LENC_1473	68
LENC_1474	68
LENC_1475	68
LENC_1476	68
LENC_1477	68
LENC_1478	68
LENC_1479	68
LENC_1480	68
LENC_1481	68
LENC_1482	68
LENC_1483	67
LENC_1484	67
LENC_1485	67
LENC_1486	67
LENC_1487	67
LENC_1488	67
LENC_1489	67
LENC_1490	66
LENC_1491	66
LENC_1492	66
LENC_1493	66
LENC_1494	66
LENC_1495	66
LENC_1496	65
LENC_1497	65
LENC_1498	65
LENC_1499	65
LENC_1500	65
LENC_1501	65
LENC_1502	65
LENC_1503	65
LENC_1504	65
LENC_1505	65
LENC_1506	65
LENC_1507	65
LENC_1508	64
LENC_1509	64
LENC_1510	64
LENC_1511	64
LENC_1512	64
LENC_1513	64
LENC_1514	64
LENC_1515	64
LENC_1516	64
LENC_1517	64
LENC_1518	64
LENC_1519	64
LENC_1520	64
LENC_1521	64
LENC_1522	64
LENC_1523	64
LENC_1524	63
LENC_1525	63
LENC_1526	63
LENC_1527	63
LENC_1528	63
LENC_1529	63
LENC_1530	63
LENC_1531	63
LENC_1532	63
LENC_1533	63
LENC_1534	63
LENC_1535	63
LENC_1536	62
LENC_1537	62
LENC_1538	62
LENC_1539	62
LENC_1540	62
LENC_1541	62
LENC_1542	62
LENC_1543	62
LENC_1544	62
LENC_1545	62
LENC_1546	62
LENC_1547	62
LENC_1548	61
LENC_1549	61
LENC_1550	61
LENC_1551	61
LENC_1552	61
LENC_1553	61
LENC_1554	61
LENC_1555	61
LENC_1556	61
LENC_1557	61
LENC_1558	61
LENC_1559	61
LENC_1560	61
LENC_1561	61
LENC_1562	60
LENC_1563	60
LENC_1564	60
LENC_1565	60
LENC_1566	60
LENC_1567	60
LENC_1568	60
LENC_1569	60
LENC_1570	60
LENC_1571	60
LENC_1572	60
LENC_1573	59
LENC_1574	59
LENC_1575	59
LENC_1576	59
LENC_1577	59
LENC_1578	59
